	x	y
SAAM-1971.443B_1	0.6168461	0.17466009
SAAM-1974.69.1_1	0.1485126	0.6701771
SAAM-1976.25_1	0.18506312	0.34887135
SAAM-1962.13.43_1	0.88065994	0.71387875
SAAM-1920.4.4_1	0.7566649	0.04344356
SAAM-1967.136.8_1	0.81723464	0.11373103
SAAM-1996.91.9_1-000001	0.23373878	0.31003106
SAAM-1911.8.3_2	0.6627754	0.70976317
SAAM-1980.50_1	0.8140452	0.50679743
SAAM-1953.3.4_1	0.5087036	0.5436286
SAAM-1974.69.13_1	0.19907868	0.67828095
SAAM-1967.6.11_1	0.005724609	0.5101763
SAAM-1969.129_1	0.7012919	0.12658334
SAAM-1962.4.6_1	0.8058348	0.39140546
SAAM-1930.12.12_1	0.9689108	0.53424656
SAAM-1983.83.272_1	0.665426	0.7946769
SAAM-1985.66.330_1	0.7598772	0.7455329
SAAM-1909.7.49_1	0.91519547	0.23119771
SAAM-1909.7.50_1	0.7772205	0.20404541
SAAM-1924.3.1_1	0.4071108	0.0876739
SAAM-1952.13.127_2	0.36479127	0.36287367
SAAM-1929.6.113_1	0.60536516	0.8039533
SAAM-1978.18.1_1	0.6723317	0.34165132
SAAM-1965.14.7_1	0.17672193	0.34160197
SAAM-1949.10.2_1	0.96125484	0.53205335
SAAM-1952.13.120_1	0.9505471	0.23317945
SAAM-1952.13.162_2	0.87659454	0.23530114
SAAM-1956.11.64_1	0.89496934	0.2666093
SAAM-1985.66.564-U_1	0.716277	0.8717612
SAAM-1991.56.42_1	1.0	0.5313531
SAAM-1974.28.301_1	0.23367465	0.6679357
SAAM-1909.7.34_1	0.76801753	0.26272976
SAAM-1983.95.202_1	0.9443253	0.22604883
SAAM-1985.66.378_1	0.7946961	0.7786063
SAAM-1962.13.41_1	0.52919614	0.7708789
SAAM-1930.12.3_1	0.9641919	0.4713701
SAAM-2009.31.1_1	0.12687111	0.5642742
SAAM-1970.299_1	0.5932269	0.7044834
SAAM-1977.55_1	0.23398566	0.31729758
SAAM-1983.83.183_1	0.6840104	0.7940234
SAAM-1950.2.24B_1	0.3975953	0.91610205
SAAM-1983.95.111_2	0.24283814	0.48617733
SAAM-1956.11.68_1	0.6205113	0.48383653
SAAM-1929.6.72_1	0.94083095	0.2227422
SAAM-1983.90.217_1	0.14185262	0.5814477
SAAM-1983.69_1	0.40005386	0.70016754
SAAM-1950.2.17A_1	0.39210784	0.98944294
SAAM-1983.83.186_1	0.8784826	0.5851797
SAAM-1952.13.114_1	0.25591564	0.5561229
SAAM-2018.6_1	0.6107522	0.4724871
SAAM-1927.5.5_1	0.6766368	0.5689298
SAAM-1950.2.2_1	0.7881515	0.08823919
SAAM-1962.13.2_1	0.16682816	0.46293938
SAAM-1983.90.211_1	0.2628796	0.61476314
SAAM-1971.283_1	0.17965138	0.34004533
SAAM-1978.52_2	0.42192042	0.8440527
SAAM-1909.7.44_1	0.87098813	0.6663412
SAAM-1912.5.1_1	0.2609905	0.34664834
SAAM-1953.3.3_1	0.31512725	0.19833815
SAAM-1970.355.746_2	0.37496936	0.51263916
SAAM-1979.41_1	0.8637978	0.71315086
SAAM-1985.66.386504_1	0.7041799	0.86273134
SAAM-1909.7.26_1	0.81337225	0.46346605
SAAM-1909.7.73_1	0.82376647	0.24216259
SAAM-1991.56.134B_1	0.6373632	0.7911984
SAAM-1983.95.61_2	0.93401706	0.20900881
SAAM-1930.12.50_1	0.98208153	0.60261476
SAAM-1930.12.56_1	0.20967233	0.6082808
SAAM-1983.95.141_1	0.8016957	0.20498526
SAAM-1989.43.3_1	0.9590372	0.48612368
SAAM-1965.14.1_2	0.79270434	0.4837433
SAAM-1965.14.3_1	0.6717404	0.103545785
SAAM-1911.5.2_1	0.24137068	0.5525919
SAAM-1929.6.98_1	0.3021828	0.16077411
SAAM-1930.12.9_1	0.9669714	0.5809094
SAAM-1970.290_1	0.56828356	0.5729481
SAAM-1930.12.42_1	0.18025517	0.64724886
SAAM-1974.69.11_1	0.4651022	0.06645155
SAAM-1983.95.206_2	0.71590686	0.7482947
SAAM-1977.105_1	0.8564056	0.71675074
SAAM-1962.13.65_1	0.24117959	0.6408762
SAAM-1983.95.108_1	0.9195558	0.184008
SAAM-1952.13.30_2	0.863395	0.16110635
SAAM-1969.64.10_1-000001	0.7106552	0.27392685
SAAM-1985.66.395_1	0.8020853	0.7662319
SAAM-1909.7.13_1	0.8001034	0.16367114
SAAM-1929.6.54_1	0.55661213	0.34490716
SAAM-1929.6.61_1	0.19675314	0.4478327
SAAM-1982.1.18_1	0.37845147	0.5289935
SAAM-1968.121.6_1	0.14473677	0.68763244
SAAM-1989.90_1	0.6988976	0.35924637
SAAM-1974.28.112_1	0.5400821	0.43474233
SAAM-1991.56.62_1	0.3337642	0.7073654
SAAM-1999.81_1	0.86644614	0.54221976
SAAM-1962.13.17_1	0.16141546	0.44963658
SAAM-1983.95.151_1	0.76232636	0.2551123
SAAM-1950.2.4_1	0.5732664	0.42904198
SAAM-1929.6.130_1	0.5671029	0.5798539
SAAM-1983.83.192_1	0.81336343	0.611328
SAAM-1962.13.28_1	0.14471614	0.7544099
SAAM-1968.69.1_1	0.6840899	0.55716884
