id	unitCode	title	media_count	media_id	topics	object_type	medium	artist	date
edanmdm-saam_1983.83.266	SAAM	Oak Cliff--Dallas	1.0	SAAM-1983.83.266_1	Trees|Oak Cliff|Landscapes|Boats and boating|Canoes|Architecture	Drawing	pencil on paper	George Elbert Burr, born Monroe Falls, OH 1859-died Phoenix, AZ 1939	1890
edanmdm-saam_1985.66.173	SAAM	Pa-ris-ka-roó-pa, Two Crows, a Chief	1.0	SAAM-1985.66.173_1	Ethnicity|Clothing and dress|Men|Portraits	Painting	oil on canvas	George Catlin, born Wilkes-Barre, PA 1796-died Jersey City, NJ 1872	1832
edanmdm-saam_1986.65.106	SAAM	Landscape	1.0	SAAM-1986.65.106_1	Boats and boating|Landscapes|Sport and play|Architecture|Recreation|Figure group|Fishing|Waterscapes	Folk Art	oil on canvas		mid 19th century
edanmdm-saam_1971.198	SAAM	The Old Clothes Dealer, Cairo	1.0	SAAM-1971.198_1	Ethnicity|Animals|Occupations|Clothing and dress|Dogs|Figure male|Cityscapes|Vendor|Figure(s) in exterior	Graphic Arts-Print	etching	Stephen James Ferris, born Plattsburgh, NY 1835-died Philadelphia, PA 1915	n.d.
edanmdm-saam_1936.12.5	SAAM	Dressing for the Rehearsal	1.0	SAAM-1936.12.5_1	Female and child|Fairy costume|Architecture|Figure female|Costume|Clothing and dress|Figure group|Nudity	Painting	oil on canvas	Seymour Joseph Guy, born Greenwich, England 1824-died New York City 1910	ca. 1890
edanmdm-saam_1981.60.3	SAAM	The Plains of Etla	1.0	SAAM-1981.60.3_1	Landscapes|Animals|Architecture|Cattle|Domestic|Plains|Wagon|Vehicles	Drawing	pencil and ink on paper	"George Overbury ""Pop"" Hart, born Cairo, IL 1868-died New York City 1933"	1927
edanmdm-saam_1976.30	SAAM	Mill on a Torrent	1.0	SAAM-1976.30_1	Mountains|Landscapes|Industrialization|Architecture|Waterfalls|Mill|Forests and forestry|Rivers	Painting	oil on canvas	Hermann Herzog, born Bremen, Germany 1831-died Philadelphia, PA 1932	1871
edanmdm-saam_1968.120.2	SAAM	A Mexican Hacienda, Lake Cuitzeo	1.0	SAAM-1968.120.2_1	Boats and boating|Landscapes|Lake Cuitzeo|Lakes|Waterscapes	Painting	oil on wood	Thomas Moran, born Bolton, England 1837-died Santa Barbara, CA 1926	1885
edanmdm-saam_1966.10.1	SAAM	Self-Portrait	1.0	SAAM-1966.10.1_1	Design|Art|Painters|Self-portraits|Occupations|Printmakers|Men|Portraits	Painting	oil on canvas	James Henry Moser, born Whitby, Ontario, Canada 1854-died Washington, DC 1913	1887
edanmdm-saam_1973.28.2	SAAM	Harvest Home	1.0	SAAM-1973.28.2_1	Love|Figure group|State of being|Emotions	Drawing	pen and ink on paperboard	Edwin Austin Abbey, born Philadelphia, PA 1852-died London, England 1911	1887
edanmdm-saam_1916.6.50	SAAM	Interior	1.0	SAAM-1916.6.50_1	Architecture|Domestic	Painting	Oil on canvas	Eliphalet Fraser Andrews, born Steubenville, OH 1835-died Washington, DC 1915	n.d.
edanmdm-saam_1983.95.89	SAAM	Boat on Sea	1.0	SAAM-1983.95.89_2	Weather|Sunset|Boats and boating|Landscapes|Coasts|Architecture|Evening|Sailboats|Cloud|Time|Waterscapes	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	n.d.
edanmdm-saam_1983.95.147	SAAM	Newport	1.0	SAAM-1983.95.147_2	Weather|Landscapes|Coasts|Cloud	Painting	oil on waxed canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	1877-1882
edanmdm-saam_1983.95.133	SAAM	Untitled (forest scene, fallen tree in foreground and house in background)	1.0	SAAM-1983.95.133_1	Landscapes|Architecture|Forests and forestry	Painting	oil on paperboard	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	1873
edanmdm-saam_1983.95.123	SAAM	Untitled (man on horse with woman and dog)	1.0	SAAM-1983.95.123_1	Path|Landscapes|Animals|Roads|Dogs|Figure group|Horses|Forests and forestry	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	n.d.
edanmdm-saam_1984.147	SAAM	Tree Landscape	1.0	SAAM-1984.147_1	Landscapes|Animals|Farms|Cattle	Painting	oil on canvas	Edward Mitchell Bannister, born St. Andrews, New Brunswick, Canada 1828-died Providence, RI 1901	1877
edanmdm-saam_1952.13.10	SAAM	Bar Harbor	1.0	SAAM-1952.13.10_1	Water|Landscapes|Farms|Bird's eye view	Drawing	pastel	Alice Pike Barney, born Cincinnati, OH 1857-died Los Angeles, CA 1931	ca. 1892
edanmdm-saam_1971.446.179	SAAM	Crow Creek	1.0	SAAM-1971.446.179_1	Ethnicity|Architecture|Crow|Domestic|Figure male|Teepee	Drawing	pencil	Solon H. Borglum, born Ogden, UT 1868-died Stamford, CT 1922	1899
edanmdm-saam_1971.446.220	SAAM	Flower	1.0	SAAM-1971.446.220_1	Flowers|Botanical study|Sculpture study	Drawing	pencil	Solon H. Borglum, born Ogden, UT 1868-died Stamford, CT 1922	n.d.
edanmdm-saam_1971.446.177	SAAM	Teepee	1.0	SAAM-1971.446.177_1	Ethnicity|Architecture|Domestic|Teepee	Drawing	pencil, conte	Solon H. Borglum, born Ogden, UT 1868-died Stamford, CT 1922	1899
edanmdm-saam_1967.63.165	SAAM	Female Nude	1.0	SAAM-1967.63.165_1	Figure female|Nudity	Drawing	drawing	Carl Newman, born Philadelphia, PA 1858-died Abington, PA 1932	
edanmdm-saam_1967.63.230	SAAM	Female Nude	1.0	SAAM-1967.63.230_1	Figure female|Nudity	Drawing	drawing	Carl Newman, born Philadelphia, PA 1858-died Abington, PA 1932	
edanmdm-saam_1967.63.172A	SAAM	Standing Female Nude	1.0	SAAM-1967.63.172_1	Figure female|Nudity	Drawing	drawing	Carl Newman, born Philadelphia, PA 1858-died Abington, PA 1932	
edanmdm-saam_1966.48.6	SAAM	Broadway, N.Y., 1852 (Genin's New Bridge)	1.0	SAAM-1966.48.6_1-000001		Graphic Arts-Print	media undetermined	J. W. Orr, born Ireland 1815-died Jersey City, NJ 1887	n.d.
edanmdm-saam_1963.6.46	SAAM	The Minute Man Monument	1.0	SAAM-1963.6.46_1	Monuments|Minute Man|Statues	Drawing	ink wash	Ernest C. Peixotto, born San Francisco, CA 1869-died New York City 1940	1897
edanmdm-saam_1963.6.56	SAAM	Ticonderoga	1.0	SAAM-1963.6.56_1	Ruins|Landscapes|Architecture|Fort|Ticonderoga|Military	Drawing	pencil	Ernest C. Peixotto, born San Francisco, CA 1869-died New York City 1940	1897
edanmdm-saam_1994.91.259	SAAM	Bonaventure, Savannah, Georgia	1.0	SAAM-1994.91.259_1	Trees|Landscapes|Savannah|Bonaventure Cemetery|Cemetery|Oak tree	Photography-Photoprint	albumen silver prints mounted to stereographic card	O. Pierre Havens, born Ossining, NY 1838-died Jacksonville, FL 1912	after 1869
edanmdm-saam_1975.58.7	SAAM	Die Sorbenburg Nebst dem Schlosschen Zu	1.0	SAAM-1975.58.7_1	Ruins|Landscapes|Art|Architecture|Saalfeld|Castles	Graphic Arts-Print	lithograph	Preusker, n.d.	
edanmdm-saam_1935.13.407	SAAM	Head of Hosea	1.0	SAAM-1935.13.407_1	Hosea|Clothing and dress|Men|Dress accessories|Portraits|Hats	Graphic Arts-Print	brulegravure	John Williams Robbins, born Windham, CT 1856-died 1938	n.d.
